OrderDate,QtyOrdered
2019-11-14,14839
2019-11-15,14377
2019-11-16,18153
2019-11-17,23173
2019-11-18,14503
2019-11-19,14904
2019-11-20,13408
2019-11-21,14730
2019-11-22,17387
2019-11-23,16914
2019-11-24,23892
2019-11-25,22197
2019-11-26,21806
2019-11-27,23780
2019-11-28,37410
2019-11-29,113361
2019-11-30,15165
2019-12-01,19085
2019-12-02,22236
2019-12-03,11890
2019-12-04,14674
2019-12-05,13891
2019-12-06,15598
2019-12-07,15642
2019-12-08,20755
2019-12-09,14918
2019-12-10,16560
2019-12-11,15878
2019-12-12,16865
2019-12-13,13994
2019-12-14,15992
2019-12-15,19527
2019-12-16,14827
2019-12-17,15266
2019-12-18,14568
2019-12-19,10734
2019-12-20,9574
2019-12-21,9646
2019-12-22,10924
2019-12-23,8303
2019-12-24,4957
2019-12-25,11342
2019-12-26,13419
2019-12-27,14362
2019-12-28,12995
2019-12-29,14341
2019-12-30,11724
2019-12-31,8046
2020-01-01,11357
2020-01-02,13582
2020-01-03,13017
2020-01-04,15025
2020-01-05,18552
2020-01-06,14741
2020-01-07,12969
2020-01-08,12306
2020-01-09,12188
2020-01-10,11925
2020-01-11,15270
2020-01-12,19327
2020-01-13,12957
2020-01-14,13819
2020-01-15,15903
2020-01-16,13879
2020-01-17,13797
2020-01-18,16375
2020-01-19,24841
2020-01-20,15967
2020-01-21,14790
2020-01-22,13722
2020-01-23,14272
2020-01-24,13247
2020-01-25,16594
2020-01-26,23949
2020-01-27,18244
2020-01-28,12626
2020-01-29,12145
2020-01-30,14699
2020-01-31,15266
2020-02-01,21284
2020-02-02,26258
2020-02-03,13359
2020-02-04,13419
2020-02-05,14652
2020-02-06,13644
2020-02-07,12060
2020-02-08,15329
2020-02-09,20817
2020-02-10,14684
2020-02-11,15623
2020-02-12,16708
2020-02-13,13737
2020-02-14,16712
2020-02-15,15214
2020-02-16,46632
2020-02-17,13940
2020-02-18,14505
2020-02-19,13759
2020-02-20,12367
2020-02-21,11468
2020-02-22,12923
2020-02-23,17548
2020-02-24,14559
2020-02-25,15049
2020-02-26,14799
2020-02-27,15881
2020-02-28,14059
2020-02-29,19116
2020-03-01,21012
2020-03-02,14282
2020-03-03,18095
2020-03-04,17619
2020-03-05,17689
2020-03-06,15301
2020-03-07,18700
2020-03-08,26078
2020-03-09,15409
2020-03-10,17525
2020-03-11,15797
2020-03-12,15039
2020-03-13,11788
2020-03-14,14372
2020-03-15,18972
2020-03-16,10109
2020-03-17,12709
2020-03-18,18443
2020-03-19,18530
2020-03-20,13541
2020-03-21,18054
2020-03-22,20701
2020-03-23,16374
2020-03-24,19244
2020-03-25,33798
2020-03-26,25741
2020-03-27,25524
2020-03-28,24006
2020-03-29,28863
2020-03-30,19006
2020-03-31,16198
2020-04-01,15477
2020-04-02,22567
2020-04-03,47978
2020-04-04,35617
2020-04-05,44256
2020-04-06,35957
2020-04-07,34727
2020-04-08,31480
2020-04-09,27277
2020-04-10,35872
2020-04-11,38651
2020-04-12,47269
2020-04-13,34656
2020-04-14,17361
2020-04-15,18588
2020-04-16,22553
2020-04-17,24351
2020-04-18,29354
2020-04-19,28665
2020-04-20,19171
2020-04-21,24167
2020-04-22,25230
2020-04-23,25903
2020-04-24,23605
2020-04-25,33182
2020-04-26,43097
2020-04-27,22782
2020-04-28,22730
2020-04-29,24642
2020-04-30,29488
2020-05-01,38162
2020-05-02,31647
2020-05-03,45704
2020-05-04,27234
2020-05-05,20481
2020-05-06,20382
2020-05-07,23990
2020-05-08,24134
2020-05-09,29616
2020-05-10,46694
2020-05-11,34439
2020-05-12,31449
2020-05-13,25304
2020-05-14,26669
2020-05-15,22983
2020-05-16,24097
2020-05-17,45140
2020-05-18,30356
2020-05-19,28265
2020-05-20,23118
2020-05-21,31468
2020-05-22,29437
2020-05-23,34047
2020-05-24,40019
2020-05-25,24834
2020-05-26,25744
2020-05-27,28395
2020-05-28,23606
2020-05-29,21411
2020-05-30,23485
2020-05-31,34373
2020-06-01,36342
2020-06-02,29922
2020-06-03,28857
2020-06-04,27014
2020-06-05,22351
2020-06-06,24343
2020-06-07,33264
2020-06-08,22601
2020-06-09,25522
2020-06-10,22808
2020-06-11,26796
2020-06-12,19905
2020-06-13,24348
2020-06-14,33729
2020-06-15,22036
2020-06-16,23756
2020-06-17,25084
2020-06-18,25047
2020-06-19,23101
2020-06-20,24527
2020-06-21,35512
2020-06-22,28759
2020-06-23,27008
2020-06-24,27027
2020-06-25,28409
2020-06-26,23243
2020-06-27,24339
2020-06-28,33064
2020-06-29,20544
2020-06-30,22598
2020-07-01,21463
2020-07-02,19528
2020-07-03,17372
2020-07-04,19253
2020-07-05,28222
2020-07-06,20590
2020-07-07,20636
2020-07-08,22669
2020-07-09,19353
2020-07-10,19776
2020-07-11,22201
2020-07-12,28968
2020-07-13,26125
2020-07-14,23648
2020-07-15,18743
2020-07-16,18631
2020-07-17,16032
2020-07-18,15927
2020-07-19,22356
2020-07-20,18316
2020-07-21,19915
2020-07-22,18077
2020-07-23,16834
2020-07-24,16643
2020-07-25,14886
2020-07-26,20480
2020-07-27,16622
2020-07-28,22693
2020-07-29,21356
2020-07-30,19442
2020-07-31,16741
2020-08-01,18822
2020-08-02,29431
2020-08-03,18129
2020-08-04,18133
2020-08-05,18089
2020-08-06,17315
2020-08-07,17221
2020-08-08,18047
2020-08-09,22837
2020-08-10,16040
2020-08-11,17724
2020-08-12,16841
2020-08-13,17158
2020-08-14,15198
2020-08-15,17617
2020-08-16,20112
2020-08-17,14677
2020-08-18,16338
2020-08-19,16448
2020-08-20,15159
2020-08-21,16424
2020-08-22,18659
2020-08-23,31461
2020-08-24,19168
2020-08-25,19468
2020-08-26,21589
2020-08-27,21204
2020-08-28,20934
2020-08-29,24327
2020-08-30,38999
2020-08-31,30375
2020-09-01,23694
2020-09-02,23916
2020-09-03,25393
2020-09-04,21034
2020-09-05,25471
2020-09-06,34815
2020-09-07,25150
2020-09-08,24510
2020-09-09,23661
2020-09-10,21821
2020-09-11,19092
2020-09-12,19189
2020-09-13,31911
2020-09-14,19248
2020-09-15,18116
2020-09-16,19806
2020-09-17,21390
2020-09-18,20438
2020-09-19,22246
2020-09-20,30965
2020-09-21,21300
2020-09-22,24969
2020-09-23,25337
2020-09-24,26199
2020-09-25,25262
2020-09-26,31122
2020-09-27,38501
2020-09-28,25369
2020-09-29,27930
2020-09-30,25589
2020-10-01,23946
2020-10-02,44050
2020-10-03,55677
2020-10-04,46590
2020-10-05,29281
2020-10-06,29507
2020-10-07,30964
2020-10-08,28328
2020-10-09,25957
2020-10-10,35704
2020-10-11,61393
2020-10-12,23846
2020-10-13,23501
2020-10-14,24334
2020-10-15,24033
2020-10-16,21749
2020-10-17,23843
2020-10-18,31361
2020-10-19,23096
2020-10-20,24095
2020-10-21,22565
2020-10-22,20776
2020-10-23,21850
2020-10-24,26313
2020-10-25,37165
2020-10-26,23159
2020-10-27,22511
2020-10-28,22140
2020-10-29,23506
2020-10-30,21891
2020-10-31,25861
2020-11-01,34545
2020-11-02,22827
2020-11-03,23995
2020-11-04,23603
2020-11-05,23599
2020-11-06,22965
2020-11-07,23885
2020-11-08,29576
2020-11-09,20972
2020-11-10,23130
2020-11-11,30986
2020-11-12,18533
2020-11-13,17411
2020-11-14,19932
2020-11-15,23980
2020-11-16,19408
2020-11-17,19953
2020-11-18,19830
2020-11-19,19744
2020-11-20,23467
2020-11-21,23401
2020-11-22,32013
2020-11-23,30353
2020-11-24,29767
2020-11-25,31304
2020-11-26,46393
2020-11-27,118519
2020-11-28,33205
2020-11-29,43928
2020-11-30,36281
2020-12-01,16020
2020-12-02,16057
2020-12-03,17050
2020-12-04,16109
2020-12-05,20416
2020-12-06,33694
2020-12-07,19211
2020-12-08,20241
2020-12-09,29808
2020-12-10,25080
2020-12-11,19680
2020-12-12,24236
2020-12-13,34955
2020-12-14,18190
2020-12-15,19506
2020-12-16,23520
2020-12-17,22372
2020-12-18,20953
2020-12-19,20736
2020-12-20,24325
2020-12-21,14701
2020-12-22,12225
2020-12-23,9942
2020-12-24,6230
2020-12-25,15742
2020-12-26,19162
2020-12-27,26209
2020-12-28,23355
2020-12-29,23655
2020-12-30,23839
2020-12-31,13892
2021-01-01,17708
2021-01-02,27666
2021-01-03,31266
2021-01-04,25193
2021-01-05,22082
2021-01-06,23173
2021-01-07,22583
2021-01-08,21426
2021-01-09,23249
2021-01-10,28418
2021-01-11,21371
2021-01-12,20614
2021-01-13,22260
2021-01-14,22271
2021-01-15,21130
2021-01-16,25653
2021-01-17,30180
2021-01-18,22678
2021-01-19,23850
2021-01-20,25544
2021-01-21,24780
2021-01-22,23736
2021-01-23,31035
2021-01-24,35619
2021-01-25,23849
2021-01-26,24131
2021-01-27,22441
2021-01-28,24213
2021-01-29,24304
2021-01-30,30833
2021-01-31,38594
2021-02-01,30502
2021-02-02,21967
2021-02-03,25494
2021-02-04,24487
2021-02-05,26059
2021-02-06,30203
2021-02-07,32665
2021-02-08,22031
2021-02-09,21107
2021-02-10,20987
2021-02-11,22428
2021-02-12,19384
2021-02-13,26304
2021-02-14,36562
2021-02-15,25321
2021-02-16,51060
2021-02-17,28880
2021-02-18,29672
2021-02-19,29475
2021-02-20,34577
2021-02-21,45850
2021-02-22,36570
2021-02-23,39194
2021-02-24,40673
2021-02-25,43548
2021-02-26,39368
2021-02-27,44943
2021-02-28,52573
2021-03-01,31313
2021-03-02,36693
2021-03-03,37808
2021-03-04,36733
2021-03-05,32758
2021-03-06,38652
2021-03-07,47717
2021-03-08,29388
2021-03-09,32518
2021-03-10,33804
2021-03-11,35364
2021-03-12,30857
2021-03-13,40822
2021-03-14,51602
2021-03-15,33032
2021-03-16,30565
2021-03-17,31494
2021-03-18,32135
2021-03-19,32040
2021-03-20,39800
2021-03-21,51720
2021-03-22,31601
2021-03-23,29903
2021-03-24,30158
2021-03-25,34589
2021-03-26,30070
2021-03-27,38951
2021-03-28,35284
2021-03-29,36958
2021-03-30,38012
2021-03-31,45460
2021-04-01,52466
2021-04-02,55640
2021-04-03,44218
2021-04-04,39835
2021-04-05,72686
2021-04-06,43316
2021-04-07,43674
2021-04-08,42590
2021-04-09,40997
2021-04-10,56422
2021-04-11,87800
2021-04-12,32887
2021-04-13,30804
2021-04-14,29872
2021-04-15,28893
2021-04-16,29132
2021-04-17,32698
2021-04-18,46602
2021-04-19,32491
2021-04-20,31320
2021-04-21,34780
2021-04-22,34835
2021-04-23,29233
2021-04-24,35170
2021-04-25,51501
2021-04-26,40589
2021-04-27,39524
2021-04-28,40386
2021-04-29,38608
2021-04-30,42700
2021-05-01,50127
2021-05-02,69800
2021-05-03,38831
2021-05-04,30450
2021-05-05,32007
2021-05-06,34118
2021-05-07,28670
2021-05-08,32069
2021-05-09,46050
2021-05-10,42221
2021-05-11,37147
2021-05-12,31610
2021-05-13,48524
2021-05-14,35035
2021-05-15,37396
2021-05-16,52153
2021-05-17,30049
2021-05-18,31756
2021-05-19,30425
2021-05-20,30164
2021-05-21,24498
2021-05-22,28295
2021-05-23,34259
2021-05-24,40452
2021-05-25,32603
2021-05-26,30338
2021-05-27,30387
2021-05-28,29895
2021-05-29,26152
2021-05-30,36575
2021-05-31,32022
2021-06-01,33528
2021-06-02,27446
2021-06-03,46923
2021-06-04,37438
2021-06-05,39023
2021-06-06,53570
2021-06-07,33519
2021-06-08,36040
2021-06-09,37230
2021-06-10,35537
2021-06-11,30538
2021-06-12,31234
2021-06-13,45146
2021-06-14,35456
2021-06-15,36886
2021-06-16,42040
2021-06-17,44307
2021-06-18,35838
2021-06-19,33364
2021-06-20,42618
2021-06-21,27473
2021-06-22,28167
2021-06-23,29068
2021-06-24,28707
2021-06-25,24181
2021-06-26,27241
2021-06-27,40662
2021-06-28,29279
2021-06-29,27683
2021-06-30,27379
2021-07-01,22656
2021-07-02,19349
2021-07-03,21046
2021-07-04,33461
2021-07-05,21478
2021-07-06,23738
2021-07-07,24213
2021-07-08,23142
2021-07-09,20271
2021-07-10,22715
2021-07-11,35434
2021-07-12,25377
2021-07-13,25481
2021-07-14,21820
2021-07-15,18953
2021-07-16,17130
2021-07-17,18881
2021-07-18,30214
2021-07-19,21504
2021-07-20,20412
2021-07-21,20490
2021-07-22,20137
2021-07-23,17990
2021-07-24,19751
2021-07-25,27707
2021-07-26,22360
2021-07-27,22199
2021-07-28,26747
2021-07-29,23472
2021-07-30,19413
2021-07-31,25873
2021-08-01,36362
2021-08-02,23417
2021-08-03,25638
2021-08-04,27240
2021-08-05,22718
2021-08-06,21671
2021-08-07,23763
2021-08-08,35609
2021-08-09,24801
2021-08-10,31419
2021-08-11,22680
2021-08-12,20063
2021-08-13,18070
2021-08-14,18612
2021-08-15,27204
2021-08-16,23411
2021-08-17,29667
2021-08-18,29404
2021-08-19,25609
2021-08-20,24378
2021-08-21,23818
2021-08-22,42735
2021-08-23,32276
2021-08-24,34472
2021-08-25,29020
2021-08-26,31854
2021-08-27,31653
2021-08-28,39933
2021-08-29,67964
2021-08-30,46712
2021-08-31,39617
2021-09-01,32444
2021-09-02,31327
2021-09-03,25338
2021-09-04,27939
2021-09-05,39512
2021-09-06,26201
2021-09-07,28641
2021-09-08,27001
2021-09-09,24563
2021-09-10,24195
2021-09-11,30265
2021-09-12,39063
2021-09-13,30103
2021-09-14,29946
2021-09-15,34291
2021-09-16,30947
2021-09-17,28445
2021-09-18,30984
2021-09-19,48579
2021-09-20,36953
2021-09-21,40875
2021-09-22,33484
2021-09-23,31681
2021-09-24,29243
2021-09-25,28522
2021-09-26,38795
2021-09-27,30485
2021-09-28,35673
2021-09-29,33865
2021-09-30,33779
2021-10-01,34940
2021-10-02,41751
2021-10-03,57635
2021-10-04,36253
2021-10-05,42426
2021-10-06,46394
2021-10-07,43191
2021-10-08,36918
2021-10-09,48690
2021-10-10,78714
2021-10-11,38037
2021-10-12,37172
2021-10-13,35767
2021-10-14,33263
2021-10-15,42803
2021-10-16,55376
2021-10-17,55053
2021-10-18,23120
2021-10-19,27363
2021-10-20,33528
2021-10-21,34481
2021-10-22,28955
2021-10-23,30908
2021-10-24,46515
2021-10-25,31761
2021-10-26,32196
2021-10-27,27400
2021-10-28,28141
2021-10-29,27927
2021-10-30,31660
2021-10-31,47838
2021-11-01,29986
2021-11-02,29704
2021-11-03,30018
2021-11-04,28202
2021-11-05,28008
2021-11-06,33534
2021-11-07,47652
2021-11-08,36321
2021-11-09,29799
2021-11-10,31844
2021-11-11,52269
2021-11-12,23546
2021-11-13,31979
2021-11-14,43893
2021-11-15,28994
2021-11-16,28085
2021-11-17,27496
2021-11-18,27806
2021-11-19,31697
2021-11-20,41242
2021-11-21,69201
2021-11-22,38489
2021-11-23,43999
2021-11-24,33717
2021-11-25,69398
2021-11-26,153784
2021-11-27,41419
2021-11-28,53287
2021-11-29,52614
2021-11-30,24455
2021-12-01,28219
2021-12-02,30127
2021-12-03,29073
2021-12-04,34103
2021-12-05,38764
2021-12-06,34157
2021-12-07,29435
2021-12-08,33344
2021-12-09,29636
2021-12-10,23112
2021-12-11,29650
2021-12-12,46004
2021-12-13,29608
2021-12-14,29529
2021-12-15,34638
2021-12-16,27301
2021-12-17,26184
2021-12-18,32151
2021-12-19,39991
2021-12-20,21810
2021-12-21,14834
2021-12-22,13992
2021-12-23,11377
2021-12-24,9567
2021-12-25,21138
2021-12-26,27880
2021-12-27,31431
2021-12-28,29659
2021-12-29,28661
2021-12-30,24712
2021-12-31,15377
2022-01-01,22776
2022-01-02,32724
2022-01-03,25734
2022-01-04,33071
2022-01-05,34576
2022-01-06,31262
2022-01-07,34166
2022-01-08,30591
2022-01-09,38142
2022-01-10,23346
2022-01-11,24936
2022-01-12,27693
2022-01-13,30590
2022-01-14,23184
2022-01-15,33421
2022-01-16,37381
2022-01-17,26328
2022-01-18,22863
2022-01-19,22842
2022-01-20,38748
2022-01-21,29504
2022-01-22,37266
2022-01-23,46382
2022-01-24,31655
2022-01-25,30666
2022-01-26,26954
2022-01-27,30446
2022-01-28,27458
2022-01-29,35231
2022-01-30,49717
2022-01-31,31392
